X,Obs_Name,Selection,View,Channel,Begin Time (s),End Time (s),High Freq (Hz),Low Freq (Hz),Center Freq (Hz),Avg Entropy ,Peak Freq Contour (Hz),PFC Max Freq (Hz),PFC Min Freq (Hz),Freq 5  (Hz),Freq 95  (Hz),BW 90  (Hz),Peak Freq (Hz),Song_Type,Obs_Code,Note_Code,Complete_Incomplete,Song_Quality,Masking,Time,Date,Site_Type,Site_Name,Site_Code,Year,Season,Site_Group,Treatment,Time_15,Time_30,Time_5,Note length (s)
1,AM_SD11_20200217_075000-4,67,Spectrogram 1,1,198.6832584,198.8100581,2719.626,1626.168,2156.25,2.656,2531.250;2437.500;2437.500;2437.500;2531.250;2250.000;2250.000;1875.000;1875.000;2250.000;2062.500;2343.750;1875.000;2062.500;2062.500;1968.750;1875.000;1875.000;1875.000;2343.750;2343.750;1875.000,2531.25,1875,1781.25,2531.25,750,2062.5,Song,1,2,C,G,FALSE,75000,20200217,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:45,07:30,07:50,0.12679973
2,AM_SD11_20200217_075000-4,66,Spectrogram 1,1,198.4676988,198.5361707,2579.439,2046.729,2437.5,1.893,2437.500;2437.500;2343.750;2250.000;2437.500;2437.500;2437.500;2531.250;2250.000;2437.500;2343.750;2437.500,2531.25,2250,2156.25,2531.25,375,2437.5,Song,1,1,C,G,FALSE,75000,20200217,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:45,07:30,07:50,0.068471854
3,AM_SD11_20200219_064000-1,68,Spectrogram 1,1,201.9479881,201.9961719,2663.551,2214.953,2437.5,1.567,2531.250;2437.500;2437.500;2437.500;2343.750;2437.500;2437.500;2437.500,2531.25,2343.75,2343.75,2531.25,187.5,2437.5,Song,1,1,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.048183898
4,AM_SD11_20200219_064000-1,70,Spectrogram 1,1,202.3055633,202.3562832,2607.477,2214.953,2437.5,1.466,2437.500;2437.500;2531.250;2437.500;2437.500;2437.500;2437.500;2437.500,2531.25,2437.5,2343.75,2531.25,187.5,2437.5,Song,1,3,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.050719892
5,AM_SD11_20200219_064000-1,71,Spectrogram 1,1,202.4653309,202.5667707,2046.729,1542.056,1781.25,1.799,1781.250;1781.250;1781.250;1781.250;1781.250;1875.000;1875.000;1781.250;1781.250;1781.250;1781.250;1687.500;1968.750;1687.500;1781.250;1875.000;1781.250;1687.500,1968.75,1687.5,1687.5,1968.75,281.25,1781.25,Song,1,4,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.101439784
6,AM_SD11_20200219_064000-1,69,Spectrogram 1,1,202.1711556,202.2269475,2747.664,1766.355,2437.5,2.72,2531.250;2531.250;2531.250;2531.250;2625.000;2250.000;2062.500;2250.000;2531.250,2625,2062.5,1875,2625,750,2531.25,Song,1,2,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.055791881
7,AM_SD11_20200219_064000-1,74,Spectrogram 1,1,203.7789781,203.82209,2635.514,1654.206,2062.5,2.636,2531.250;2343.750;2250.000;2250.000;2062.500;1875.000;2062.500,2531.25,1875,1687.5,2531.25,843.75,2062.5,Song,2,2,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.043111908
8,AM_SD11_20200219_064000-1,75,Spectrogram 1,1,203.8778819,204.0122896,2299.065,1598.131,1968.75,2.132,1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;2156.250;2156.250;2156.250;2156.250;1968.750;2156.250;2062.500;2250.000;2156.250;1968.750;2156.250;2156.250;2062.500;1875.000;1968.750;1968.750,2250,1875,1781.25,2250,468.75,1875,Song,2,3,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.134407714
9,AM_SD11_20200219_064000-1,78,Spectrogram 1,1,206.6877661,206.715662,2663.551,2186.916,2437.5,1.778,2343.750;2437.500;2437.500;2437.500;2437.500,2437.5,2343.75,2343.75,2531.25,187.5,2437.5,Contact,3,1,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.027895941
10,AM_SD11_20200219_064000-1,79,Spectrogram 1,1,206.9439016,206.9844775,2214.953,1766.355,1968.75,1.699,2062.500;2062.500;2062.500;2062.500;2062.500;2062.500;1781.250,2062.5,1781.25,1781.25,2156.25,375,2062.5,Contact,3,2,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.040575914
11,AM_SD11_20200219_064000-1,81,Spectrogram 1,1,208.881405,208.9169089,2887.85,2271.028,2531.25,2.154,2437.500;2437.500;2531.250;2718.750;2531.250,2718.75,2437.5,2343.75,2812.5,468.75,2437.5,Contact,4,1,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.035503924
12,AM_SD11_20200219_064000-1,82,Spectrogram 1,1,209.2110843,209.358172,2355.14,1710.28,1968.75,2.207,1875.000;1875.000;1875.000;2250.000;1968.750;1875.000;1875.000;1968.750;1968.750;1968.750;1968.750;2156.250;2250.000;2156.250;1968.750;2062.500;2156.250;2156.250;2156.250;2156.250;1968.750;1875.000;2062.500;1968.750;1968.750;2062.500,2250,1875,1781.25,2250,468.75,1875,Contact,4,2,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.147087687
13,AM_SD11_20200219_064000-1,73,Spectrogram 1,1,203.5608825,203.5862425,2663.551,2214.953,2437.5,1.804,2437.500;2343.750;2531.250;2625.000,2625,2343.75,2343.75,2625,281.25,2531.25,Song,2,1,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.025359946
14,AM_SD11_20200219_064000-3,91,Spectrogram 1,1,297.4617444,297.5022364,2787.435,2213.552,2531.25,1.922,2437.500;2437.500;2625.000;2625.000;2625.000;2718.750,2718.75,2437.5,2343.75,2718.75,375,2625,Song,1,1,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.040492043
15,AM_SD11_20200219_064000-3,93,Spectrogram 1,1,297.9360797,298.0141715,2254.543,1619.172,1968.75,2.306,1781.250;2062.500;2062.500;2062.500;1875.000;1781.250;1875.000;2156.250;2062.500;1968.750;1687.500;2250.000;2062.500,2250,1687.5,1687.5,2250,562.5,2062.5,Song,1,3,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.078091796
16,AM_SD11_20200219_064000-3,94,Spectrogram 1,1,298.2455095,298.3149696,2746.444,2316.031,2531.25,1.892,2437.500;2531.250;2625.000;2531.250;2531.250;2437.500;2718.750;2625.000;2625.000;2531.250;2531.250;2718.750,2718.75,2437.5,2343.75,2718.75,375,2531.25,Song,1,4,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.069460062
17,AM_SD11_20200219_064000-3,95,Spectrogram 1,1,298.500076,298.6765057,2447.677,1631.785,2156.25,2.357,2156.250;2343.750;2343.750;2250.000;2250.000;2250.000;2156.250;2343.750;2250.000;2250.000;2250.000;2250.000;2156.250;2156.250;2250.000;2156.250;2250.000;2437.500;2343.750;2250.000;2156.250;1781.250;1781.250;1781.250;2062.500;1781.250;1781.250;1781.250;1875.000;1781.250;1781.250;1687.500,2437.5,1687.5,1781.25,2437.5,656.25,2250,Song,1,5,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.176429613
18,AM_SD11_20200219_064000-3,92,Spectrogram 1,1,297.7394041,297.8926954,2459.502,1639.668,2062.5,2.318,2343.750;2343.750;2250.000;2250.000;2156.250;2156.250;2156.250;2062.500;2062.500;2062.500;1968.750;2062.500;2156.250;2156.250;1968.750;2062.500;2062.500;1968.750;2156.250;2062.500;1875.000;1875.000;2062.500;1968.750;1875.000;1968.750;1968.750,2343.75,1875,1781.25,2343.75,562.5,2156.25,Song,1,2,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.153291303
19,AM_SD11_20200219_064000-3,97,Spectrogram 1,1,299.3306861,299.4024704,2774.034,2284.499,2531.25,1.845,2718.750;2437.500;2531.250;2531.250;2625.000;2625.000;2625.000;2625.000;2625.000;2718.750;2718.750;2531.250,2718.75,2437.5,2437.5,2718.75,281.25,2531.25,Song,1,7,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.071784339
20,AM_SD11_20200219_064000-3,98,Spectrogram 1,1,299.5731155,299.6425304,2755.903,1994.404,2437.5,2.34,2531.250;2437.500;2437.500;2531.250;2625.000;2343.750;2437.500;2343.750;2156.250;2156.250;2156.250;2625.000,2625,2156.25,2156.25,2625,468.75,2156.25,Song,1,8,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.06941493
21,AM_SD11_20200219_064000-3,99,Spectrogram 1,1,299.6569918,299.81896,2284.499,1668.047,2062.5,2.149,2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;1968.750;2062.500;1781.250;2250.000;1968.750;2062.500;2062.500;1875.000;1875.000;1875.000;1875.000;1875.000;2156.250;1781.250;1875.000;1875.000;1875.000;1781.250;1875.000;1875.000,2250,1781.25,1687.5,2250,562.5,2156.25,Song,1,9,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.161968169
22,AM_SD11_20200219_064000-3,100,Spectrogram 1,1,299.8276369,299.908621,2719.641,1776.832,2343.75,2.719,2437.500;2343.750;2437.500;2343.750;2343.750;2437.500;2343.750;2250.000;1968.750;1781.250;2062.500;2062.500;1875.000;2062.500,2437.5,1781.25,1875,2625,750,2343.75,Song,1,10,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.080984084
23,AM_SD11_20200219_064000-3,96,Spectrogram 1,1,298.7227823,298.9194579,2502.07,1559.261,1968.75,2.634,2437.500;2437.500;2437.500;2343.750;2437.500;2437.500;2156.250;2343.750;1781.250;1781.250;1781.250;1593.750;2343.750;2437.500;2437.500;2437.500;2156.250;2062.500;1781.250;1781.250;1781.250;1781.250;1781.250;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1875.000;1781.250;1781.250;1781.250;1781.250;1781.250;2343.750,2437.5,1593.75,1687.5,2437.5,750,1781.25,Song,1,6,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.196675635
24,AM_SD11_20200219_064000-4,84,Spectrogram 1,1,214.9807955,215.0594114,2663.551,2130.841,2437.5,1.803,2437.500;2437.500;2531.250;2531.250;2437.500;2343.750;2437.500;2531.250;2531.250;2531.250;2531.250;2437.500;2531.250;2531.250,2531.25,2343.75,2343.75,2625,281.25,2531.25,Contact,1,1,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.078615833
25,AM_SD11_20200219_064000-4,85,Spectrogram 1,1,215.2698989,215.3586587,2719.626,1738.318,2343.75,2.699,2531.250;2531.250;2531.250;2531.250;2343.750;2625.000;1968.750;2250.000;2062.500;2156.250;2062.500;1968.750;1968.750;2156.250;2437.500,2625,1968.75,1875,2625,750,2531.25,Contact,1,2,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.088759811
26,AM_SD11_20200219_064000-4,86,Spectrogram 1,1,215.4372745,215.5260344,2046.729,1654.206,1875,1.445,1875.000;1875.000;1875.000;1875.000;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1968.750,1968.75,1875,1781.25,1968.75,187.5,1875,Contact,1,3,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.088759811
27,AM_SD11_20200219_064000-4,87,Spectrogram 1,1,215.5133544,215.5868982,2747.664,1990.654,2343.75,2.233,2531.250;2531.250;2343.750;2437.500;2343.750;2343.750;2625.000;2343.750;2343.750;2062.500;2062.500;2062.500;2343.750,2625,2062.5,2062.5,2625,562.5,2343.75,Contact,1,4,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,06:40,0.073543843
28,AM_SD11_20200220_073500-2,102,Spectrogram 1,1,316.4003031,316.5420253,2449.161,1735.626,2062.5,2.427,2156.250;1968.750;1968.750;2156.250;1875.000;2062.500;2156.250;2156.250;2250.000;2250.000;2062.500;2062.500;2437.500;2343.750;2062.500;2250.000;2250.000;2250.000;2062.500;2250.000;2156.250;2250.000;2250.000;2250.000;2250.000,2437.5,1875,1875,2343.75,468.75,2062.5,Song,1,1,C,B,TRUE,73500,20200220,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:30,07:30,07:35,0.141722148
29,AM_SD11_20200220_073500-2,103,Spectrogram 1,1,316.5478099,316.6027634,1774.195,1484.924,1687.5,1.02,1687.500;1593.750;1687.500;1593.750;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500,1687.5,1593.75,1593.75,1687.5,93.75,1687.5,Song,1,2,C,B,TRUE,73500,20200220,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:30,07:30,07:35,0.054953486
