X,Obs_Name,Selection,View,Channel,Begin.Time..s.,End.Time..s.,High.Freq..Hz.,Low.Freq..Hz.,Center.Freq..Hz.,Avg.Entropy..bits.,Peak.Freq.Contour..Hz.,PFC.Max.Freq..Hz.,PFC.Min.Freq..Hz.,Freq.5...Hz.,Freq.95...Hz.,BW.90...Hz.,Peak.Freq..Hz.,Syllable,No_of_Notes,Song_Type,Obs_Code,Note_Code,Complete_Incomplete,Song_Quality,Masking,Time,Date,Site_Type,Site_Name,Site_Code,Year,Season,Site_Group,Treatment,Time_15,Time_30,Time_5
1,AM_SD11_20200217_075000-4,19,Spectrogram 1,1,198.4600908,198.8176661,2803.738,1542.056,2250,2.838,1593.750;2437.500;2437.500;2343.750;2250.000;2437.500;2437.500;2437.500;2531.250;2250.000;2437.500;2343.750;2437.500;2437.500;2156.250;2343.750;2250.000;2156.250;2437.500;2437.500;2343.750;2531.250;2343.750;2437.500;2625.000;1593.750;2343.750;2343.750;1968.750;2062.500;2718.750;1781.250;2531.250;1781.250;2343.750;2437.500;1968.750;2343.750;2343.750;1781.250;1593.750;2531.250;2531.250;2437.500;2437.500;2343.750;2531.250;2250.000;2250.000;1875.000;1875.000;2250.000;2062.500;2343.750;1875.000;2062.500;2062.500;1968.750;1875.000;1875.000;1875.000;2343.750;2343.750;1875.000;2250.000;2250.000,2718.75,1593.75,1781.25,2531.25,750,2437.5,2,2,Song,1,NA,C,G,FALSE,75000,20200217,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:45,07:30,750
4,AM_SD11_20200219_064000-1,20,Spectrogram 1,1,201.9403801,202.5769147,2859.813,1429.907,2343.75,3.058,1593.750;2812.500;2531.250;2437.500;2437.500;2437.500;2343.750;2437.500;2437.500;2437.500;2531.250;2437.500;1500.000;1500.000;2437.500;2437.500;2437.500;2343.750;2437.500;1593.750;2812.500;2625.000;2343.750;2812.500;2437.500;2812.500;2343.750;2250.000;1500.000;2156.250;1500.000;2250.000;1500.000;2343.750;2156.250;2343.750;2437.500;1875.000;2437.500;1875.000;2156.250;2343.750;2812.500;2531.250;2531.250;2062.500;2531.250;2062.500;2625.000;2250.000;2062.500;2250.000;2531.250;2531.250;2250.000;1875.000;1875.000;2250.000;1968.750;1781.250;1875.000;2250.000;2343.750;1875.000;1968.750;2156.250;2343.750;2343.750;2437.500;2437.500;2531.250;2531.250;2437.500;2437.500;2437.500;2437.500;2437.500;2812.500;2531.250;2718.750;2437.500;2062.500;2718.750;1781.250;1687.500;1687.500;2531.250;1687.500;1968.750;1687.500;1875.000;2531.250;2437.500;2343.750;2343.750;1875.000;2437.500;2156.250;1875.000;1781.250;1781.250;1875.000;1781.250;1781.250;1875.000;1875.000;1781.250;1781.250;1781.250;1781.250;1687.500;1968.750;1687.500;1781.250;1875.000;1781.250;1687.500;1687.500;2343.750,2812.5,1500,1593.75,2718.75,1125,2437.5,2,4,Song,1,NA,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
8,AM_SD11_20200219_064000-1,21,Spectrogram 1,1,203.5558105,204.0198975,2719.626,1457.944,2062.5,3.09,2062.500;2437.500;2343.750;2531.250;2156.250;2625.000;2343.750;2437.500;2343.750;1968.750;1500.000;1500.000;1687.500;1500.000;1500.000;1593.750;1593.750;2718.750;2531.250;2343.750;1593.750;1593.750;1968.750;1687.500;2625.000;1781.250;1500.000;2625.000;2531.250;2343.750;1968.750;1968.750;1593.750;2062.500;2531.250;2250.000;1781.250;1593.750;2250.000;2250.000;2531.250;1687.500;2531.250;2343.750;2250.000;2250.000;2062.500;1875.000;2062.500;2062.500;1500.000;2343.750;2531.250;2343.750;2531.250;2343.750;2343.750;2531.250;1500.000;2250.000;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;2156.250;2156.250;2156.250;2156.250;1968.750;2156.250;2062.500;2250.000;2156.250;1968.750;2156.250;2156.250;2062.500;1875.000;1968.750;2531.250;1875.000,2718.75,1500,1593.75,2625,1031.25,2531.25,2,3,Song,2,NA,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
12,AM_SD11_20200219_064000-1,76,Spectrogram 1,1,206.6826941,206.9895495,2719.626,1682.243,2250,2.973,2343.750;2437.500;2437.500;2437.500;2437.500;2625.000;2250.000;1687.500;2531.250;2437.500;2437.500;1687.500;1687.500;2250.000;1687.500;2531.250;1687.500;1687.500;2625.000;2343.750;2250.000;1968.750;1875.000;2156.250;1781.250;2250.000;1687.500;1781.250;2531.250;1781.250;1687.500;2718.750;1687.500;2437.500;1875.000;1781.250;2062.500;1875.000;2531.250;1781.250;1781.250;2156.250;2625.000;1875.000;1875.000;2437.500;2531.250;2718.750;2062.500;2062.500;1968.750;2062.500;1875.000;2062.500;2250.000;2062.500,2718.75,1687.5,1687.5,2718.75,1031.25,2437.5,2,2,Contact,3,NA,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
15,AM_SD11_20200219_064000-1,80,Spectrogram 1,1,208.876333,209.3683159,2943.925,1598.131,2156.25,3.107,2062.500;2437.500;2437.500;2531.250;2718.750;1781.250;1968.750;1687.500;1687.500;1875.000;2625.000;2625.000;2718.750;1687.500;1875.000;2062.500;2343.750;2625.000;2156.250;2250.000;1687.500;1687.500;1968.750;2062.500;1781.250;1781.250;1687.500;2250.000;2531.250;2437.500;2437.500;2343.750;1687.500;2343.750;1687.500;2343.750;1687.500;1781.250;1968.750;2906.250;1781.250;2156.250;1781.250;2250.000;1875.000;1875.000;2156.250;2156.250;1875.000;1875.000;1687.500;1968.750;2812.500;1968.750;2062.500;2250.000;2250.000;2156.250;2437.500;2437.500;2531.250;2531.250;2250.000;1875.000;1875.000;1875.000;2625.000;1968.750;1875.000;1875.000;1968.750;1968.750;1968.750;1968.750;2156.250;1687.500;2156.250;1968.750;2062.500;2156.250;2156.250;2156.250;2156.250;1968.750;1875.000;2062.500;1968.750;1968.750;2062.500;1687.500;1968.750,2906.25,1687.5,1687.5,2812.5,1125,1875,2,2,Contact,4,NA,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
19,AM_SD11_20200219_064000-3,90,Spectrogram 1,1,297.4529046,299.9258115,2866.649,1433.325,2156.25,3.163,2531.250;2343.750;2437.500;2437.500;2625.000;2625.000;2718.750;2625.000;2812.500;2437.500;1593.750;1687.500;1500.000;1500.000;2250.000;1875.000;2250.000;1781.250;1875.000;2718.750;1687.500;1500.000;1781.250;1875.000;1593.750;1593.750;1875.000;2718.750;2437.500;2250.000;2250.000;2156.250;1875.000;2250.000;2437.500;2437.500;2531.250;1500.000;1500.000;2625.000;2250.000;2250.000;2625.000;1500.000;2812.500;2437.500;2062.500;2812.500;2156.250;2250.000;2156.250;2531.250;2437.500;2437.500;2343.750;2343.750;2250.000;2156.250;2156.250;2156.250;2156.250;2062.500;2062.500;2062.500;1968.750;2062.500;2156.250;2156.250;1968.750;2062.500;2062.500;1968.750;2156.250;2062.500;1875.000;1875.000;2062.500;1968.750;1875.000;1968.750;1968.750;1968.750;2250.000;1968.750;1968.750;2062.500;1968.750;2437.500;1687.500;1875.000;1781.250;1968.750;2062.500;2062.500;1875.000;1875.000;1781.250;1875.000;2156.250;2062.500;1968.750;1687.500;2250.000;2062.500;2156.250;2250.000;1687.500;2062.500;1875.000;2062.500;2343.750;2250.000;1875.000;1968.750;1875.000;1875.000;1875.000;1500.000;1875.000;1968.750;1875.000;1968.750;1593.750;1687.500;2343.750;2062.500;1781.250;1875.000;1687.500;2156.250;1593.750;1875.000;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1781.250;1875.000;2062.500;1781.250;1593.750;1875.000;1968.750;1500.000;2343.750;2531.250;2437.500;2531.250;2625.000;2531.250;2531.250;1781.250;2812.500;2625.000;1875.000;2531.250;2812.500;2718.750;2062.500;1593.750;1687.500;1781.250;1781.250;1781.250;1781.250;1781.250;2625.000;1781.250;1781.250;1781.250;2250.000;2156.250;2062.500;2437.500;2812.500;1781.250;2250.000;1781.250;2156.250;1500.000;2812.500;1687.500;2156.250;1781.250;1875.000;1875.000;2625.000;2062.500;2531.250;2531.250;2625.000;2531.250;2718.750;2625.000;2343.750;2156.250;2250.000;2250.000;2250.000;2156.250;2343.750;2250.000;2250.000;2250.000;2250.000;2156.250;1593.750;1593.750;2156.250;2250.000;2437.500;2343.750;2250.000;2156.250;1781.250;1781.250;1781.250;2062.500;1781.250;1781.250;1781.250;1875.000;1781.250;1781.250;1687.500;2437.500;2718.750;2437.500;2250.000;1687.500;2437.500;2062.500;2718.750;2812.500;2437.500;2437.500;2437.500;2343.750;2343.750;2437.500;2062.500;2156.250;2343.750;1781.250;1781.250;1781.250;1593.750;2343.750;2437.500;2437.500;2437.500;2156.250;2062.500;1781.250;1781.250;1781.250;1781.250;1781.250;1968.750;1968.750;1968.750;1968.750;1968.750;1968.750;1875.000;1781.250;1781.250;1781.250;1781.250;1781.250;2343.750;1687.500;1781.250;1781.250;1968.750;2156.250;1968.750;1968.750;2343.750;1781.250;1687.500;2156.250;2156.250;1687.500;2156.250;1875.000;2250.000;2812.500;1875.000;1968.750;2812.500;1593.750;2343.750;2062.500;1781.250;1687.500;2156.250;1500.000;2625.000;1968.750;2437.500;1875.000;1593.750;2156.250;1500.000;2156.250;1968.750;1968.750;1968.750;1875.000;2062.500;2062.500;1593.750;1875.000;2156.250;2156.250;1500.000;1593.750;2156.250;1875.000;2250.000;2156.250;2156.250;2718.750;1875.000;2718.750;2343.750;2062.500;1968.750;1500.000;2062.500;2250.000;1593.750;2625.000;2062.500;1593.750;1875.000;2343.750;1687.500;2343.750;1593.750;2062.500;1500.000;1687.500;2531.250;2343.750;1875.000;1500.000;1593.750;2812.500;2437.500;2531.250;2718.750;2625.000;2625.000;2625.000;2625.000;2625.000;2718.750;1781.250;2531.250;2437.500;1781.250;1781.250;2625.000;1593.750;1500.000;2625.000;2625.000;1968.750;2625.000;2531.250;1875.000;2812.500;1593.750;1500.000;2531.250;1781.250;1968.750;1968.750;2625.000;1781.250;2718.750;2062.500;1968.750;2625.000;1875.000;1500.000;1968.750;1781.250;1781.250;1781.250;2531.250;2531.250;2437.500;2437.500;2437.500;2531.250;2625.000;2343.750;2437.500;2343.750;2156.250;2156.250;2156.250;2625.000;2156.250;2156.250;1593.750;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2156.250;2343.750;2156.250;2531.250;2156.250;1968.750;2062.500;2812.500;2250.000;1968.750;2062.500;2062.500;1875.000;1875.000;1875.000;1875.000;1875.000;2156.250;1781.250;1875.000;1875.000;1875.000;1781.250;1875.000;1875.000;2812.500;2625.000;2437.500;2343.750;2437.500;2343.750;2343.750;2437.500;2343.750;2250.000;1968.750;1781.250;2062.500;2062.500;1875.000;2062.500;1500.000;1781.250;2343.750;2343.750,2812.5,1500,1593.75,2718.75,1125,2156.25,2,10,Song,1,NA,C,B,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
33,AM_SD11_20200219_064000-4,22,Spectrogram 1,1,214.9731875,215.5970422,2803.738,1570.093,2343.75,2.901,2437.500;2437.500;2437.500;2531.250;2531.250;2437.500;2343.750;2437.500;2531.250;1781.250;2531.250;2531.250;2437.500;2531.250;2531.250;2625.000;2531.250;1968.750;2437.500;2156.250;2531.250;1593.750;1593.750;2437.500;2062.500;1687.500;1781.250;2531.250;2718.750;2062.500;1593.750;1875.000;1593.750;1593.750;1593.750;2156.250;1781.250;2156.250;1593.750;1781.250;1875.000;2156.250;2062.500;2062.500;1593.750;1875.000;1781.250;2437.500;1875.000;1781.250;2437.500;2531.250;2625.000;2437.500;2437.500;2437.500;2531.250;2343.750;2531.250;1968.750;2343.750;2625.000;1968.750;2250.000;2062.500;2156.250;2062.500;1968.750;1968.750;2156.250;2437.500;2250.000;2250.000;1781.250;2156.250;2156.250;2156.250;1875.000;1687.500;1781.250;2062.500;1781.250;1968.750;2156.250;1781.250;1593.750;1781.250;1875.000;1875.000;1875.000;1875.000;1968.750;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;1875.000;2531.250;2531.250;2343.750;2437.500;2343.750;2343.750;2625.000;2343.750;2343.750;2062.500;1968.750;2062.500;2343.750;2343.750;2343.750,2718.75,1593.75,1687.5,2625,937.5,2531.25,2,4,Song,1,NA,C,G,FALSE,64000,20200219,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,06:30,06:30,640
38,AM_SD11_20200220_073500-2,101,Spectrogram 1,1,316.3916263,316.7126703,2545.584,1388.501,2062.5,2.807,2250.000;2531.250;2156.250;1968.750;1968.750;2156.250;1875.000;2062.500;2156.250;2156.250;2250.000;2250.000;2062.500;2062.500;2437.500;2343.750;2062.500;2250.000;2250.000;2250.000;2062.500;2250.000;2156.250;2250.000;2250.000;1687.500;2250.000;1875.000;1687.500;1593.750;2531.250;2531.250;1593.750;1687.500;1687.500;1687.500;1687.500;1875.000;1875.000;2156.250;2156.250;2156.250;2156.250;1968.750;2156.250;2156.250;2250.000;1968.750;2156.250;2156.250;2343.750;2343.750;1968.750;2062.500;2250.000;2062.500;1875.000;2156.250;2156.250,2531.25,1593.75,1593.75,2437.5,843.75,2062.5,2,3,Song,1,NA,C,B,TRUE,73500,20200220,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:30,07:30,735
42,AM_SD11_20200220_073500-3,105,Spectrogram 1,1,323.2666027,323.5934313,2487.73,1427.07,2156.25,2.494,1500.000;2156.250;2250.000;1968.750;2156.250;1968.750;2062.500;1968.750;1968.750;2156.250;2250.000;2250.000;2250.000;1687.500;2062.500;1968.750;2250.000;2343.750;2062.500;2437.500;2437.500;2437.500;2437.500;2343.750;2343.750;2437.500;2062.500;1875.000;1781.250;1781.250;1968.750;2437.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1781.250;1875.000;1968.750;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2250.000;2343.750;2343.750;2437.500;2343.750,2437.5,1500,1687.5,2437.5,750,2437.5,2,3,Song,1,1,C,B,TRUE,73500,20200220,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:30,07:30,735
46,AM_SD11_20200220_073500-3,109,Spectrogram 1,1,328.2962977,328.6144494,2429.876,1369.216,1968.75,2.587,2343.750;2343.750;2062.500;2062.500;2062.500;2062.500;2156.250;2062.500;1968.750;2062.500;2062.500;2156.250;2062.500;2062.500;2062.500;1968.750;2156.250;2343.750;2062.500;2062.500;2062.500;2250.000;2062.500;1968.750;1968.750;2062.500;1875.000;1781.250;1875.000;1968.750;1687.500;1781.250;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1687.500;1875.000;1968.750;2156.250;1968.750;2156.250;1968.750;2062.500;2250.000;2250.000;1968.750;1875.000;2156.250;2250.000;2062.500;1968.750;2062.500;1968.750;2156.250;2250.000;2156.250,2343.75,1687.5,1593.75,2250,656.25,2062.5,2,3,Song,2,NA,C,G,TRUE,73500,20200220,Unrestored,Amjhar,AM_2,2020,Winter_2020,Unrestored,Unrestored,07:30,07:30,735
