X,Site code,Site_Name,Site type,Obs_Name,Song_Type,Obs_Code,Date,Season,Time_15,Time_30,Time_5,Total trees,Simpson index (All trees),Lantana density,% Farms (in 3 km buffer),% Forest (in 3 km buffer),Total population (in 3 km buffer)
1,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-2,Song,1,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
2,AM_1,Amjhar,Unrestored,AM_SD37_20200222_061500-5,Contact,1,20200222,Winter_2020,06:15,06:00,06:15,32,0.619140625,3,0.178347853,0.5418475,6427
3,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_071000-1,Contact,2,20201227,Winter_2021,07:00,07:00,07:10,32,0.619140625,3,0.178347853,0.5418475,6427
4,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_071000-1,Contact,3,20201227,Winter_2021,07:00,07:00,07:10,32,0.619140625,3,0.178347853,0.5418475,6427
5,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_071000-1,Contact,4,20201227,Winter_2021,07:00,07:00,07:10,32,0.619140625,3,0.178347853,0.5418475,6427
6,AM_1,Amjhar,Unrestored,AM1_SD34_20201231_082000-4,Song,1,20201231,Winter_2021,08:15,08:00,08:20,32,0.619140625,3,0.178347853,0.5418475,6427
7,AM_1,Amjhar,Unrestored,AM1_SD34_20201231_082000-4,Contact,2,20201231,Winter_2021,08:15,08:00,08:20,32,0.619140625,3,0.178347853,0.5418475,6427
8,AM_1,Amjhar,Unrestored,AM1_SD34_20201231_082000-4,Song,3,20201231,Winter_2021,08:15,08:00,08:20,32,0.619140625,3,0.178347853,0.5418475,6427
9,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-2,Song,2,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
10,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-2,Song,3,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
11,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-6,Contact,2,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
12,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-6,Song,1,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
13,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-6,Song,3,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
14,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_062500-6,Contact,4,20201227,Winter_2021,06:15,06:00,06:25,32,0.619140625,3,0.178347853,0.5418475,6427
15,AM_1,Amjhar,Unrestored,AM1_SD34_20201227_071000-1,Contact,1,20201227,Winter_2021,07:00,07:00,07:10,32,0.619140625,3,0.178347853,0.5418475,6427
16,AM_1,Amjhar,Unrestored,AM_SD37_20200217_073000-2,Song,1,20200217,Winter_2020,07:30,07:30,07:30,32,0.619140625,3,0.178347853,0.5418475,6427
17,AM_1,Amjhar,Unrestored,AM_SD37_20200217_073000-4,Song,1,20200217,Winter_2020,07:30,07:30,07:30,32,0.619140625,3,0.178347853,0.5418475,6427
18,AM_1,Amjhar,Unrestored,AM_SD37_20200218_070000-5,Contact,1,20200218,Winter_2020,07:00,07:00,07:00,32,0.619140625,3,0.178347853,0.5418475,6427
19,AM_1,Amjhar,Unrestored,AM_SD37_20200218_070000-5,Contact,2,20200218,Winter_2020,07:00,07:00,07:00,32,0.619140625,3,0.178347853,0.5418475,6427
20,AM_1,Amjhar,Unrestored,AM_SD37_20200220_072000-1,Song,1,20200220,Winter_2020,07:15,07:00,07:20,32,0.619140625,3,0.178347853,0.5418475,6427
21,AM_1,Amjhar,Unrestored,AM_SD37_20200218_070000-2,Song,1,20200218,Winter_2020,07:00,07:00,07:00,32,0.619140625,3,0.178347853,0.5418475,6427
22,AM_2,Amjhar,Unrestored,AM_SD11_20200217_075000-4,Song,1,20200217,Winter_2020,07:45,07:30,07:50,30,0.777777778,2,0.158799232,0.544625348,7157
23,AM_2,Amjhar,Unrestored,AM_SD11_20200219_064000-1,Song,1,20200219,Winter_2020,06:30,06:30,06:40,30,0.777777778,2,0.158799232,0.544625348,7157
24,AM_2,Amjhar,Unrestored,AM_SD11_20200219_064000-3,Song,1,20200219,Winter_2020,06:30,06:30,06:40,30,0.777777778,2,0.158799232,0.544625348,7157
25,AM_2,Amjhar,Unrestored,AM_SD11_20200219_064000-4,Song,1,20200219,Winter_2020,06:30,06:30,06:40,30,0.777777778,2,0.158799232,0.544625348,7157
26,AM_2,Amjhar,Unrestored,AM2_SD38_20210219_082000-1,Contact,1,20210219,Winter_2021,08:15,08:00,08:20,30,0.777777778,2,0.158799232,0.544625348,7157
27,AM_2,Amjhar,Unrestored,AM2_SD38_20210219_082000-5,Song,1,20210219,Winter_2021,08:15,08:00,08:20,30,0.777777778,2,0.158799232,0.544625348,7157
28,AM_2,Amjhar,Unrestored,AM2_SD38_20210219_082000-5,Song,2,20210219,Winter_2021,08:15,08:00,08:20,30,0.777777778,2,0.158799232,0.544625348,7157
29,AM_2,Amjhar,Unrestored,AM2_SD38_20210219_082000-5,Song,3,20210219,Winter_2021,08:15,08:00,08:20,30,0.777777778,2,0.158799232,0.544625348,7157
30,AM_2,Amjhar,Unrestored,AM2_SD38_20210219_082000-5,Song,4,20210219,Winter_2021,08:15,08:00,08:20,30,0.777777778,2,0.158799232,0.544625348,7157
31,AM_2,Amjhar,Unrestored,AM2_SD38_20210221_062500-2,Song,1,20210221,Winter_2021,06:15,06:00,06:25,30,0.777777778,2,0.158799232,0.544625348,7157
32,AM_2,Amjhar,Unrestored,AM2_SD38_20210222_070000-4,Contact,1,20210222,Winter_2021,07:00,07:00,07:00,30,0.777777778,2,0.158799232,0.544625348,7157
33,AM_2,Amjhar,Unrestored,AM2_SD38_20210223_070000-4,Contact,1,20210223,Winter_2021,07:00,07:00,07:00,30,0.777777778,2,0.158799232,0.544625348,7157
